Other,English
-i,his
-ilar,their
"-im, mening",my
-imiz,our
"-ing, sening",your
-ingiz,your (pl)
"-ma-, emas, yo'q",not
-mi,interrogative particle
-ng,an ending of the 2d person
-sy,suffix (3d person)
AES; Atom Elektr Stansiyasi,Nuclear Power Plant
"Ahvolingiz qalay?, Ishlaringiz yaxshimi?, Qalaysiz",How are you?
"Anchadan beri ko'rishmadik!, ko'rinmay ketdingiz?",Long time no see
Arzimaydi,You're welcome
Asta-sekin,slowly
Asta-sekin,very slowly
Barmoq,Finger
Barmoq,thumb
Beshinchi,Fifth
Bir daqiqa!,Just a minute
Bir million,one million
"Bir ming, ming",one thousand
Bir til bilish kamlik qiladi,One language is never enough
Bir yuz ikki,A hundred and two
Bir yuz ming,100000
"Bir-yuz, yuz",One- hundred
Birinchi,First
Biz non haqida gapirdik,We talked about bread
Biz yaxshimizmi?,Are we well?
"Bo'pti, buloq",well
Boldyr,Calf
Bosh,Head
Bosh vazirning o'rinbosari,deputy Prime minister
Botanika,'Botany'; a sanatorium
Bu Aziz,This is Aziz
Bu kim?,Who is this?
Bu nima?,What is this?
Bu piyola nozik,This cup is fragile
Bu qog'oz muloyim,This paper is soft
Bu qog'oz tekis,This paper is smooth
Bu yer tekis,This place is level
Bu yer tep-tekis,This place is completely level
Bu yerga kelishim qat'iydir,It's definite that I will come
"Buning narhi qancha?, Necha pul turadi?",How much is this?
Burun,Nose
Buxoro,Bukhara
Chalqancha yoting,Lay on your back
Chapga yuzlaning,Turn your head left
Dilorom,an opera
Diqqinafasni bormi?,Do you have asthma?
Direktor,Director
Do'stlik niqobi ostida,Under the guise of friendship
Doktor,Doctor
Ekonomikadan,Economics
Elliginchi,Fiftieth
Erkak,Man
Etmish,Seventy
"Ey!, To'htang!",Hey
Fanlar akademiyasi,The Academy of Sciences
Fotima,woman's name
G'uncha,'Bud'; a kindergarten
Ha; nima demoqchisiz?,Yes; what is it?
Hayirli kech,good evening
Hayirli kun,good afternoon
Hayirli tong,good morning
Hayirli tun,good night
Hol mevalar quridilar,The fresh fruits dried up
Hulkar,Pleiades
Ikki ming ikki yuz ellik,2.250
Ikki yuz,Two hundred
Ikki yuz ellik uch,Two hundred and fifty-three
Ikkinchi,Second
Iltimos; sekinroq gapiring,Please speak more slowly
Is'hoq,Isaac
Isming nima?,What's your name (1)
"Ismingiz nima?, Ismingiz nima?, Otiz nima?",What is your name?
Jahon Tinchlik Kengashi,The World Security Council
Janob,Sir
Jasorat,'Courage'; a memorial
Kamalak,'Rainbow'; United Press Office
Kechirasiz,Excuse me
Kel!,Come!
Keladi,He comes/will come
Keladi,He will come
Keladilar,They come/will come
Keladimi?,Will he come?
Kelaman,I come/will come
Kelamiz,We come/will come
Kelasan,You come/will come
Kelasiz,You come/will come (pl)
Keldi,He came
Keldik,We came
Keldilar,They came
Keldim,I came
Keldimi?,Did he come?
Keldimi?,Did she come?
Kelding,You came
Keldingiz,You came (pl)
Kelin,Bride
Kelin,daughter-in-law
Keling!,Come! (more polite)
Kelinglar!,Come! (even more polite)
Kelma-,to not come
Kelmadim,I didn't come
Kim siz?,Who are you?
Kiprik,Eyelash
Kishi,Person
Ko'z,Eye
Mana,Look; here
MarkaziyQizilqum,the Central Kizilkum
Mayli,all right
Maylingiz bormi?,What do you want?
Melicioner,Police officer
"Men Amerikada turaman, Men Amerikada yashaiman",I live in the US
Men Amerikadanman,I am from United States
Men Amerikalikman,My nationality is American
Men Florida shatidanman,I am from Florida
"Men New Yorkda turaman, Men New Yorkda yashaiman",I line in the city of New York
Men bu ishdan voz kechaman,I will give up this job
Men kitob yozdim,I wrote a book
Men seni sevaman,I love you
Men sizga baxt tilayman,I wish you luck
Men tushunmayapman,I don't underastand
Men yaxshimanmi?,Am I well?
Menda kinoga borish havasi bor,I want to go to the cinema
Menga qarang!,Look here!
Menga karang,Look here
Mengayoqdi,I like it
Mening ismim Dilshod,I am Dilshod
Mening ismim Rovshan Yusupov,My name is Ravshan Yusupov
Mening ismim...,my name is...
Mening ona tilim ingliz tili,My native language is english
Mirrix,Mars
Mirshabni chaqiring!,Call the police!
Misr Arab Respublikasi,The Egyptian Arab Republic
Mudofaa vaziri,Defense Minister
Mustaqillik kuni,Independence Day
Nafas amallab chiqarasizmi?,Are you short of breath?
Nafas odatda chiqaring,You can breathe
Nafas oling,Breathe in
Nafasingizni tuting,Hold your breath
Navro'z,a charitable fund
Navro'zbayrami,Spring's equinox; New Year's
Necha yoshdasiz?,How old are you?
Nega yo'q bo'lib ketding?,long time no see (1)
Nimadan dars berasiz?,What do you teach?
No'l,Zero
Nu'mon,man's name
O'gil,Son
O'n-besh,Fifteen
O'n-beshinchi,Fifteenth
O'n-bir,Eleven
O'n-birinchi,Eleventh
O'n-ikki,Twelve
O'n-olti,Sixteen
O'n-oltinchi,Sixteenth
O'n-sakiz,Eighteen
O'n-sakkizinchi,Eighteenth
O'n-to'qqiz,Nineteen
O'n-to'qqizinchi,Nineteenth
O'n-to'rt,Fourteen
O'n-to'rtinchi,Fourteenth
O'n-uch,Thirteen
O'n-uchinchi,Thirteenth
O'n-yetinchi,Seventeenth
O'n-yetti,Seventeen
O'ngga yuzlaning,Turn your head right
O'ninchi,Tenth
O'qishni xohlayman,I want to study
O'ttizinchi,Thirtieth
O'zbek tilida gapirasizmi?,Do you speak Uzbek?
O'zbekiston Qahramoni,'Hero of Uzbekistan'; a rank
O'zbekiston Respublikasi,Republic of Uzbekistan
O'zbekiston Respublikasi,The Republic of Uzbekistan
Oficer,Officer
Oficiant,Waiter
Oficiantka,Waitress
Og'riq sezasizmi?,Have you any pain?
Oilangiz bormi?,Do you have a family?
Oldik!,cheers
Oliy Majlisining Raisi,The Chairman of the Parliament
Oltin Yulduz,'Gold Star'; a medal
Oltinchi,Sixth
Omad yor bo'lsin!,good luck
Ona,Mother
Orzungizga yeting!,May you be successful
Ota,Father
Oyoq,Foot
Ozodlik,'Freedom'; a monument
Paxtakor,'Cotton Worker; sports stadium
Qachon keldingiz?,When did you come?
Qandli diabedni bormi?,Do you have sugar diabetes?
Qavs,the Archer
Qay?n ona,Mother-in-law
Qayerda ishlaysiz?,Where do you work?
"Qayerdansiz?, Siz qay yerdansiz?",Where are you from?
Qimirlamang!,Don't move
Qirriqinchi,Fortieth
Qiz,Girl
Qiz,daughter
Qo'l,Arm
Qon,Blood
Qorin,Belly
"Qorin, qursoq",stomach
Quloq,Ear
Qutlug' qon,'Sacred Blood'; a novel
Rahmat; yaxshi,fine; thanks
Ramazonhayiti,the end of Ramadan
Rossiya Federatsiyasi,The Russian Federation
Safaringiz behatar bo'lsin!,have a nice trip
Sakkizinchi,Eighth
Salom!,Hello!
Samarqand,Samarkand
"Sen yaxshimisan?, Yaxshimisiz?",Are you well?
Shimoliy Kavkaz,Northern Caucasus
Sino,brand name for a refrigerator
Siz homiladorimisiz?,Are you pregnant?
Siz yaxshimisiz?,Are you alright?
Siz yaxshimisiz?,Are you well? (pl)
Sizga o'zimni tanishtirsam,May I introduce myself?
Sizga yoqdimi?,Do you like it?
Soat necha?,What time is it?
Sog'likni saqlash vazirligi,The Ministry of Public Health
Sog'liq uchun!,good health!
Tanishganimdan hursandman,pleased to meet you
Tanovar,classical folk melody
Teatrga borgim keldi,I wanted to go to the theater
Tezda sog'ayib keting,Get well soon
Tilshunoslik instituti,The Institute of Linguistics
Tinchlik Dengizi,the moon's surface
Tirnoq,Fingernail
Tirnoq,claw
Tizza,Knee
To'rtinchi,Fourth
Tug'ilgan kuningiz bilan!,Happy Birthday
Tuk,Hair
Tuqqizinchi,Ninth
Tutqanoqni bormi?,Do you have epilepsy?
U bilimga intiladi,He strives for knowledge
U ko'ngilli askar,He is a voluntary soldier
U mashinani orzu qiladi,She dreams of a car
U menga nisbatan hiyla qildi,He tricked me
U sof havoda yuryapti,He is walking in the fresh air
U tez gapirdi,He spoke quickly
U yaxshimi?,Is he well?
