Other,English
1. Aujußß,August 1
1. Jannowaa,January 1
1. Juuli,July 1
1. Meij,May 1
1. Novemmber,November 1
11. Novemmber,November 11
11. Sepptämmber,September 11
12. Febrowaa,February 12
12. Oktoober,October 12
14. Apprill,April 14
14. Febrowaa,February 14
14. Juuni,June 14
15. Aujußß,August 15
1530-er Joohre,1530s
17. Määz,March 17
17. Sepptämmber,September 17
1750-er Joohre,1750s
1760-er Joohre,1760s
1770-er Joohre,1770s
1780-er Joohre,1780s
1790-er Joohre,1790s
1820-er Joohre,1820s
1830-er Joohre,1830s
1840-er Joohre,1840s
1850-er Joohre,1850s
1860-er Joohre,1860s
1870-er Joohre,1870s
1880-er Joohre,1880s
1890-er Joohre,1890s
19. Jannowaa,January 19
19. Määz,March 19
1900-er Joohre,1900s
1920-er Joohre,1920s
1930-er Joohre,1930s
1940-er Joohre,1940s
1950-er Joohre,1950s
1960-er Joohre,1960s
1970-er Joohre,1970s
1980-er Joohre,1980s
1990-er Joohre,1990s
2. Febrowaa,February 2
2. Määz,March 2
2. Novemmber,November 2
20. Jannowaa,January 20
21. Juuni,June 21
22. Febrowaa,February 22
23. Juuni,June 23
24. Juuni,June 24
24. Meij,May 24
24. Oktoober,October 24
25. Määz,March 25
29. Febrowaa,February 29
29. Juuni,June 29
29. Sepptämmber,September 29
3. Juuni,June 3
31. Dezemmber,December 31
4. Juuli,July 4
5. Novemmber,November 5
6. Aujußß,August 6
6. Jannowaa,January 6
8. Dezemmber,December 8
ASCII,American Standard Code for Information Interchange
ASEAN,Association of Southeast Asian Nations
ATP (Watt ėßß datt?),ATP
AU (Watt ėßß datt?),Au
Aasije,Asia
Abuja,Abuja
Accra,Accra
Addis Abeba,Addis Ababa
Adenosiin Trifoßfaat,Adenosine triphosphate
Affrika,Africa
Albert Einstein,Albert Einstein
Alfabeet,Alphabet
Algiers,Algiers
Alkalimetall,Alkali metal
Allu,Aluminium
Ammilandt,United States
Andrew Jackson,Andrew Jackson
Anschlääch vam 11. September 2001,September 11
Antananarivo,Antananarivo
Antvärrpe (Provinß),Antwerp (province)
Appel (för ze esse),Apple
Apprill (Moohnd),April
Artificial Intelligence,Artificial intelligence
Asmara,Asmara
Asteoridejüddel,Asteroid belt
Asteroid,Asteroid
Aujußß (Moohnd),August
Ave Maria,Hail Mary
Bajore (Bundesland),Bavaria
Bamako,Bamako
Bangui,Bangui
Banjul,Banjul
Belljie,Belgium
Benediktinerorde,Order of Saint Benedict
Benin,Benin
Bier (för ze drinke),Beer
Bill Clinton,Bill Clinton
Bissau,Bissau
Blëij,Lead
Bonn,Bonn
Boochshtaave (Allfabet),Letter (alphabet)
Botswana,Botswana
Brandeborsch (Bundesland),Brandenburg
Brauser,Web browser
Breme (Bundesland),Bremen (state)
Brunei,Brunei
Brut,Bread
Bujumbura,Bujumbura
Bulljaarije,Bulgaria
Buz,Kiss
Bälliin (Bundesland),Berlin
CD (Watt ėßß datt?),CD (disambiguation)
Charlie Chaplin,Charlie Chaplin
Christoph Kolumbus,Christopher Columbus
Computertomography,Computed tomography
Conakry,Conakry
Cornwall,Cornwall
Curitiba,Curitiba
Dakar,Dakar
Dalai Lama,Dalai Lama
Deshdënniß,Table tennis
Deutsche Demokratische Republik,East Germany
Deutsche Shprooch,German language
Dezemmber,December
Dier,Animal
Dijalägk,Dialect
Dinnßdaach,Tuesday
Djibouti City,Djibouti (city)
Dodoma,Dodoma
Dreijkünningsdaach,Epiphany (Christian)
Dunnerßdaach,Thursday
Duud Meer,Dead Sea
Dwight D. Eisenhower,Dwight D. Eisenhower
Dänemarrək,Denmark
Dörp,Village
Dütschland,Germany
E-Bass,Bass guitar
Edmund Hillary,Edmund Hillary
Eezte Weltkreech,World War I
Eisen,Iron
El-Qaeda,Al-Qaeda
Elektron,Electron
Engornät,Internet
Enzym,Enzyme
Eris,Eris (dwarf planet)
Esperanto,Esperanto
Europa (Kontinänt),Europe
Europäish Unjon,European Union
Faase (Schimii),Phase (matter)
Fattikahn,Vatican City
Febrowaa,February
Fesch,Fish
Finnlandt,Finland
Fleut (Mussik),Flute
