Other,English
11 di nôvimbe,November 11
11 di setimbe,September 11
12 di fevrî,February 12
12 d' octôbe,October 12
14 di djun,June 14
14 di fevrî,February 14
14 d' avri,April 14
15 d' awousse,August 15
17 di måss,March 17
17 di setimbe,September 17
1728,1728
19 di djanvî,January 19
19 di måss,March 19
1î d' awousse,August 1
1î d' djanvî,January 1
1î d' djulete,July 1
1î d' may,May 1
1î d' nôvimbe,November 1
2 d' fevrî,February 2
2 d' måss,March 2
2 d' nôvimbe,November 2
20 d' djanvî,January 20
21 di djun,June 21
22 d' fevrî,February 22
23 d' djun,June 23
24 di djun,June 24
24 di may,May 24
24 d' octôbe,October 24
25 di måss,March 25
29 di djun,June 29
29 di fevrî,February 29
29 di setimbe,September 29
3 d' djun,June 3
31 di decimbe,December 31
4 di djulete,July 4
5 di nôvimbe,November 5
6 di djanvî,January 6
6 d' awousse,August 6
8 di decimbe,December 8
A (plante),Garlic
Abondroet d' oteur,Copyright
Acacia,Acacia
Adan,Adam
Addjectif,Adjective
Adjinçaedje del fråze,Syntax
Adolf Hitler,Adolf Hitler
Adoptaedje d' efants,Adoption
Adviebe,Adverb
Afrike,Africa
Afrike bijhrece,North Africa
Afrike coûtchantrece,West Africa
Agaesse,European Magpie
Agricoûteure,Agriculture
Aite,Cemetery
Aldjereye,Algeria
Alfabet,Alphabet
Alfabet arabe,Arabic alphabet
Alfabet grek,Greek alphabet
Algorisse,Algorithm
Ali (calife),Ali
Almagne,Germany
Almand,German language
Amanite touwe-moxhe,Amanita muscaria
Amponî,Rubus idaeus
Amponî,Raspberry
Antartike,Antarctica
Antécri,Antichrist
Anweye,Eel
Anêye bizete,Leap year
Anêyes 1750,1750s
Anêyes 1760,1760s
Anêyes 1770,1770s
Anêyes 1780,1780s
Anêyes 1790,1790s
Anêyes 1820,1820s
Anêyes 1830,1830s
Anêyes 1840,1840s
Anêyes 1850,1850s
Anêyes 1860,1860s
Anêyes 1870,1870s
Anêyes 1880,1880s
Anêyes 1890,1890s
Anêyes 1900,1900s
Anêyes 1920,1920s
Anêyes 1930,1930s
Anêyes 1940,1940s
Anêyes 1950,1950s
Anêyes 1960,1960s
Anêyes 1970,1970s
Anêyes 1980,1980s
Anêyes 1990,1990s
Arabe,Arabic language
Arkeyolodjeye,Archaeology
Aspirene,Aspirin
Astronomeye,Astronomy
Avoenne,Oat
Avri,April
Avéns,Advent
Awousse,August
Bactereye,Bacteria
Balalayca,Balalaika
Barbåde,Barbados
Bas Payis,Netherlands
Bascolidîs,Mustelidae
Bassidiomicete,Basidiomycota
Bateme,Baptism
Beldjike,Belgium
Belès letes,Literature
Betchteu waibe,Web browser
Beyôle,Birch
Bibioteke,Library
Biciclete,Bicycle
Biesse ås tetes,Mammal
Bijhe (costé del Daegne),North
Bire,Beer
Blouze,Blues
Bole (astronomeye),Planet
Bon vénrdi,Good Friday
Bontins,Spring (season)
Bouxhon,Shrub
Bovrins,Cattle
Boûkete,Buckwheat
Braezi,Brazil
Brussele (veye),Brussels
Bulgåreye,Bulgaria
CDP,Commonwealth of Independent States
Cabutreces,Brassicaceae
Calcaedje (linwince),Loanword
Californeye,California
Caligrafeye,Calligraphy
Calindrî grigoryin,Gregorian calendar
Canon (del guere),Cannon
Carbone,Carbon
Caricateure,Caricature
Categoreye:Agricoûteure,Agriculture
Categoreye:Aldjereye,Algeria
Categoreye:Almagne,Germany
Categoreye:Astronomeye,Astronomy
Categoreye:Azeye,Asia
Categoreye:Bas Payis,Netherlands
Categoreye:Beldjike,Belgium
Categoreye:Bibe,Bible
Categoreye:Biyolodjeye,Biology
Categoreye:Bulgåreye,Bulgaria
Categoreye:Canada,Canada
Categoreye:Cinema,Film
Categoreye:Climat,Climate
Categoreye:Congo (Kinshasa),Democratic Republic of the Congo
Categoreye:Crustinnisse,Christianity
Categoreye:Cuba,Cuba
Categoreye:Cérudjeye,Surgery
Categoreye:Danse,Dance
Categoreye:Djapon,Japan
Categoreye:Djenocides,Genocide
Categoreye:Djeus olimpikes,Olympics
Categoreye:Djeyografeye,Geography
Categoreye:Djeyolodjeye,Geology
Categoreye:Djudayisse,Judaism
Categoreye:Ecolodjeye,Ecology
Categoreye:Enerdjeye,Energy
Categoreye:Espagne,Spain
Categoreye:Estats Unis,United States
Categoreye:Filozofeye,Philosophy
Categoreye:Fotbale,Football (soccer)
Categoreye:France,France
Categoreye:Gana,Ghana
Categoreye:Grece,Greece
Categoreye:Guere di 1914-1918,World War I
Categoreye:Gueres et årmêyes,Military
Categoreye:Inde,India
Categoreye:Indjenioreye,Engineering
Categoreye:Israyel (estat),Israel
Categoreye:Kazaxhtan,Kazakhstan
Categoreye:Linwince,Linguistics
Categoreye:Litwaneye,Lithuania
Categoreye:Lussimbork,Luxembourg
Categoreye:Male,Malta
Categoreye:Manoyes,Currency
Categoreye:Marok,Morocco
Categoreye:Matematike,Mathematics
Categoreye:Mecanike,Mechanics
Categoreye:Meteyo,Meteorology
Categoreye:Microbiyolodjeye,Microbiology
Categoreye:Mitolodjeye greke,Greek mythology
Categoreye:Mitolodjeye rominne,Roman mythology
Categoreye:Moirt,Death
