Other,English
1 ta' Jannar,January 1
1 ta' Mejju,May 1
19 ta' Marzu,March 19
23 ta' Ġunju,June 23
60,60
AIDS,AIDS
Adolf Hitler,Adolf Hitler
Affiss,Affix
Afrika,Africa
Akille,Achilles
Alan Turing,Alan Turing
Albanija,Albania
Alfabett,Alphabet
Alkoħoliżmu,Alcoholism
Alla,Allah
Andorra,Andorra
Andrea Palladio,Andrea Palladio
Antropoloġija,Anthropology
Apollo (divinità),Apollo
April,April
Aristotile,Aristotle
Arkimede,Archimedes
Art,Earth
Asja,Asia
Asterojde,Asteroid
Astroloġija,Astrology
Astronomija,Astronomy
Atti ta' l-Appostli,Acts of the Apostles
Awissu,August
Awstralja,Australia
Awstrija,Austria
Aħdar,Green
Aħmar,Red
Ażotu,Nitrogen
Baqra tal-baħar,Sirenia
Baskitbol,Basketball
Baħar Eġew,Aegean Sea
Baħar Mediterran,Mediterranean Sea
Baħar l-Aħmar,Red Sea
Belfast,Belfast
Belgrad,Belgrade
Belt Kapitali,Capital
Belġju,Belgium
Berlin,Berlin
Bibbja,Bible
Bijoloġija,Biology
Bill Gates,Bill Gates
Bit,Bit
Blogg,Blog
Bolonja,Bologna
Bolzano,Bolzano
Bratislava,Bratislava
Brendi,Brandy
Brimba,Spider
Buddiżmu,Buddhism
Bulgarija,Bulgaria
Casablanca,Casablanca
1750s,1750s
1760s,1760s
1770s,1770s
1790s,1790s
1820s,1820s
1830s,1830s
1840s,1840s
1860s,1860s
1870s,1870s
1880s,1880s
1890s,1890s
1900s,1900s
1920s,1920s
1930s,1930s
1940s,1940s
1950s,1950s
1960s,1960s
1970s,1970s
1980s,1980s
1990s,1990s
Agrikoltura,Agriculture
Antropoloġija,Anthropology
Arkeoloġija,Archaeology
Arkitettura,Architecture
Astronomija,Astronomy
Ateiżmu,Atheism
Bioloġija,Biology
Botanika,Botany
Buddiżmu,Buddhism
Diżambigwazzjoni,Disambiguation
Ekoloġija,Ecology
Elettriċità,Electricity
Elettronika,Electronics
Entomoloġija,Entomology
Ewropa,Europe
Filosofija,Philosophy
Finanza,Finance
Fiżika,Physics
Futbol,Football (soccer)
Induiżmu,Hinduism
Islam,Islam
Italja,Italy
Kimika,Chemistry
Kristjaneżmu,Christianity
Letteratura,Literature
Lingwistika,Linguistics
Malta,Malta
Matematika,Mathematics
Mużika,Music
Politika,Politics
Polonja,Poland
Psikoloġija,Psychology
Reliġjon,Religion
Sistema solari,Solar System
Skultura,Sculpture
Slovakkja,Slovakia
Soċjoloġija,Sociology
Stati Uniti,United States
Storja,History
Teatru,Theatre
Televiżjoni,Television
Teoloġija,Theology
Trasport,Transportation
Xjenza,Science
Ġeografija,Geography
Ġermanja,Germany
Ġudaiżmu,Judaism
Claudio Monteverdi,Claudio Monteverdi
Cork,Cork (city)
Curitiba,Curitiba
Danimarka,Denmark
Dante Alighieri,Dante Alighieri
Demenzja,Dementia
Demm,Blood
Dgħajsa,Boat
Diċembru,December
Dominju,Domain (biology)
Dublin,Dublin
Dugongu,Dugong
Eklissi,Eclipse
Eklissi solari,Solar eclipse
Ekwazzjonijiet Differenzjali,Differential equation
Element Kimiku,Chemical element
Enea,Aeneas
Enejide,Aeneid
Entomoloġija,Entomology
Enċiklopedija,Encyclopedia
Era (mitoloġija),Hera
Eroj,Hero
Etna,Mount Etna
Ettore,Hector
Ewklide,Euclid
Ewro,Euro
Ewropa,Europe
Familja,Family (biology)
Faxxa ta' Kuiper,Kuiper belt
Fencing,Fencing
Feniċi,Phoenicia
Finlandja,Finland
Fonoloġija,Phonology
Francisco Goya,Francisco Goya
Franz Schubert,Franz Schubert
Franza,France
Frar,February
Funzjonijiet (Matematika),Function (mathematics)
Futbol,Football (soccer)
Galileo Galilei,Galileo Galilei
Galway,Galway
Giuseppe Verdi,Giuseppe Verdi
Gowler,Goalkeeper
Greenpeace,Greenpeace
Greċja,Greece
Guy de Maupassant,Guy de Maupassant
Gwerra ta' Trojja,Trojan War
Gwerra Ċivili Amerikana,American Civil War
H. G. Wells,H. G. Wells
Hector Berlioz,Hector Berlioz
Ideoloġija,Ideology
Idroġenu,Hydrogen
Ikħal,Blue
Ilijade,Iliad
Iljun,Lion
Immanuel Kant,Immanuel Kant
Imperu Brittanniku,British Empire
Imperu Ottoman,Ottoman Empire
Imperu Ruman,Roman Empire
Indja,India
Irlanda ta' Fuq,Northern Ireland
Isfar,Yellow
Islam,Islam
Iswed,Black
Italja,Italy
Iżlanda,Iceland
Jannar,January
Johann Sebastian Bach,Johann Sebastian Bach
Jum ir-Ringrazzjament,Thanksgiving
Jum ir-Ringrazzjament,Thanksgiving (United States)
Jum ir-Ringrazzjament,Thanksgiving (Canada)
Jum ir-Ringrazzjament,Thanksgiving (disambiguation)
Kalligrafija,Calligraphy
Karbonju,Carbon
Karl Marx,Karl Marx
Kartaġiniżi,Carthage
Katowice,Katowice
Kilwa,Kidney
Kimika,Chemistry
Kimika Organika,Organic chemistry
Kolera,Cholera
Kometa,Comet
Kompjuter,Computer
Kompożitur,Composer
Korea t'Isfel,South Korea
Kostellazzjoni,Constellation
Kristjaneżmu,Christianity
Kristofru Kolombu,Christopher Columbus
Kroazja,Croatia
Kultura,Culture
L-Integral,Integral
Lagomorfu,Lagomorpha
Lamantin,Manatee
Lega Anżejatika,Hanseatic League
Leonardo da Vinci,Leonardo da Vinci
Letteratura,Literature
Lingwa Ido,Ido
Lingwa Maltija,Maltese language
Lingwistika,Linguistics
Litwanja,Lithuania
Ludwig van Beethoven,Ludwig van Beethoven
Lulju,July
Malarja,Malaria
Malta,Malta
Mammiferu,Mammal
Mara,Woman
Marie Curie,Marie Curie
Marokk,Morocco
Marrara,Gallbladder
Marte,Mars (disambiguation)
Marzu,March
Matematika,Mathematics
Mediċina,Medicine
Mejju,May
Mekka,Mecca
Mekkanika Klassika,Classical mechanics
Merkurju,Mercury
Merkurju (pjaneta),Mercury (planet)
Metru,Metre
Mewt,Death
Michelangelo Merisi da Caravaggio,Caravaggio
Miguel de Cervantes,Miguel de Cervantes
Mikhail Gorbachev,Mikhail Gorbachev
Mitoloġija Griega,Greek mythology
Moldova,Moldova
Mosul,Mosul
Muħammed,Muhammad
Mużew,Museum
Mużika,Music
Neolitiku,Neolithic
New Zealand,New Zealand
Novembru,November
Novial,Novial
Odissea,Odyssey
Olanda,Netherlands
Omeru,Homer
Ordni,Order (biology)
Orikteropu,Aardvark
Oscar Wilde,Oscar Wilde
Ottubru,October
Oċean Atlantiku,Atlantic Ocean
Oċean Indjan,Indian Ocean
Oċean Paċifiku,Pacific Ocean
Oċeanja,Oceania
Pajjiżi,State
Pangea,Pangaea
Pawlu minn Tarsu,Paul the Apostle
