Other,English
1. janúar,January 1
1. júlí,July 1
1. maí,May 1
1. nóvember,November 1
1. ágúst,August 1
10,10
1000,1000
1000,1000
101,101
105,105
11,11
11. nóvember,November 11
11. september,September 11
115,115
12,12
12. febrúar,February 12
12. október,October 12
120,120
13,13
13,13
135,135
14,14
14,14
14. apríl,April 14
14. febrúar,February 14
14. júní,June 14
15,15
15,15
15. ágúst,August 15
1531-1540,1530s
16,16
16,16
17,17
17,17
17. mars,March 17
17. september,September 17
1728,1728
1728,1728
1751-1760,1750s
1751–1760,1750s
1761-1770,1760s
1761–1770,1760s
1771-1780,1770s
1771–1780,1770s
1781-1790,1780s
1781–1790,1780s
1791-1800,1790s
1791–1800,1790s
18,18
18,18
180,180
1821-1830,1820s
1821–1830,1820s
1831-1840,1830s
1831–1840,1830s
1841-1850,1840s
1841-1850,1840s
1851–1860,1850s
1861-1870,1860s
1861–1870,1860s
1871-1880,1870s
1871–1880,1870s
1881-1890,1880s
1881–1890,1880s
1891-1900,1890s
1891–1900,1890s
19,19
19. janúar,January 19
19. mars,March 19
1901-1910,1900s
1921-1930,1920s
1921-1930,1920s
1931-1940,1930s
1931-1940,1930s
1941-1950,1940s
1941-1950,1940s
1951-1960,1950s
1951-1960,1950s
1961-1970,1960s
1961-1970,1960s
1971-1980,1970s
1971-1980,1970s
1981-1990,1980s
1981-1990,1980s
1991-2000,1990s
1991-2000,1990s
2. febrúar,February 2
2. mars,March 2
2. nóvember,November 2
20,20
20. janúar,January 20
21,21
21. júní,June 21
22,22
22. febrúar,February 22
23,23
23. júní,June 23
24,24
24,24
24. júní,June 24
24. maí,May 24
24. október,October 24
25,25
25. mars,March 25
26,26
27,27
28,28
29,29
29. febrúar,February 29
29. júní,June 29
29. september,September 29
3. júní,June 3
30,30
31,31
31. desember,December 31
32,32
33,33
34,34
37,37
39,39
4,4
4. júlí,July 4
40,40
5,5
5. nóvember,November 5
500,500
6,6
6. janúar,January 6
6. ágúst,August 6
66,66
67,67
68,68
69,69
7,7
76,76
8,8
8. desember,December 8
81,81
88,88
9,9
96,96
97,97
98,98
A,A
A-vítamín,Retinol
A-vítamín,Vitamin A
Aachen,Aachen
Abel Tasman,Abel Tasman
Aberdeen,Aberdeen
Abidjan,Abidjan
Abraham,Abraham
Abraham Lincoln,Abraham Lincoln
Abstraktlist,Abstract art
Abú Dabí,Abu Dhabi
Abú Dabí,Abu Dhabi
Abútja,Abuja
Acetýlsalicýlsýra,Aspirin
Acre,Acre
Adam Smith,Adam Smith
Addis Ababa,Addis Ababa
Adelaide,Adelaide
Adenflói,Gulf of Aden
Adenósínþrífosfat,Adenosine triphosphate
Adolf Eichmann,Adolf Eichmann
Adolf Hitler,Adolf Hitler
Adríahaf,Adriatic Sea
Afbygging,Deconstruction
Afganistan,Afghanistan
Afganistan,Afghanistan
Afl,Power
Afleiðsla,Deductive reasoning
Afríka,Africa
Afríka,Africa
Afríka sunnan Sahara,Sub-Saharan Africa
Afríkanska,Afrikaans
Afródíta,Aphrodite
Afstæðishyggja,Relativism
Afstæðiskenningin,Theory of relativity
Afturbolur,Abdomen
Afþreying,Entertainment
Agamemnon,Agamemnon
Agat,Agate
Agatha Christie,Agatha Christie
Aikido,Aikido
Ajas,Ajax
Ajas Telamonsson,Ajax
Akabaflói,Gulf of Aqaba
Akkeron,Acheron
Akkilles,Achilles
Akkra,Accra
Akonkagúa,Aconcagua
Akstursíþróttir,Auto racing
Aktiníð,Actinide
Akíra Kúrósava,Akira Kurosawa
Al Gore,Al Gore
Al-Kaída,Al-Qaeda
Alabama,Alabama
Alan Turing,Alan Turing
Alaska,Alaska
Albanía,Albania
Albanía,Albania
Albert Camus,Albert Camus
Albert Einstein,Albert Einstein
Alberta,Alberta
Alberta,Alberta
Aldebaran,Aldebaran
Alec Guinness,Alec Guinness
Aleuteyjar,Aleutian Islands
Alexander Fleming,Alexander Fleming
Alexander Graham Bell,Alexander Graham Bell
Alexander mikli,Alexander the Great
Alexandr Púshkín,Alexander Pushkin
Alexandre Dumas eldri,Alexandre Dumas
Alexandría,Alexandria
Alfa,Alpha
Alfred Hitchcock,Alfred Hitchcock
Alfred Nobel,Alfred Nobel
Alfred North Whitehead,Alfred North Whitehead
Alfræðirit,Encyclopedia
Algebra,Algebra
Algebra,Algebra
Algebruleg tala,Algebraic number
Algeirsborg,Algiers
Algildi,Absolute value
Algyðistrú,Pantheism
Alheimurinn,Universe
Alkalímálmur,Alkali metal
Alkanar,Alkane
Alkenar,Alkene
Alkul,Absolute zero
Alkóhól,Alcohol
Alkóhólismi,Alcoholism
Allah,Allah
Almaty,Almaty
Almenn brot,Fraction
Almenna afstæðiskenningin,General relativity
Alnæmi,AIDS
Alpafjöll,Alps
Alpafjöll,Alps
Alræði,Totalitarianism
Alsheimer,Alzheimer's disease
Alsír,Algeria
Alsír,Algeria
Altari,Altar
Alvar Aalto,Alvar Aalto
Alí ibn Abu Talib,Ali
Alþjóða heilbrigðisstofnunin,World Health Organization
Alþjóða kjarnorkumálastofnunin,International Atomic Energy Agency
Alþjóða veðurfræðistofnunin,World Meteorological Organization
Alþjóðadómstóllinn,International Court of Justice
Alþjóðaflugmálastofnunin,International Civil Aviation Organization
Alþjóðagjaldeyrissjóðurinn,International Monetary Fund
Alþjóðastofnun,International organization
Alþjóðaviðskiptastofnunin,World Trade Organization
Alþjóðlega einingakerfið,International System of Units
Alþýðulýðveldið Kína,People's Republic of China
Amasónfljót,Amazon River
Amerískur fótbolti,American football
Amerískur fótbolti,American football
Amharíska,Amharic
Amman,Amman
Amper,Ampere
Amsterdam,Amsterdam
Ananas,Pineapple
Anatole France,Anatole France
