Other,English
Abiĝano,Abidjan
Abuĝo,Abuja
Abĥazio,Abkhazia
Adria Maro,Adriatic Sea
Adriatiko,Adriatic Sea
Afganio,Afghanistan
Afganio,Transitional Islamic State of Afghanistan
Afrikansa,Afrikaans
Alando,Åland Islands
Albanio,Albania
Albanio,Republic of Albania
Alĝerio,Algeria
Alĝerio,People's Democratic Republic of Algeria
Amsterdamo,Amsterdam
Andoro,Andorra
Andoro,Principality of Andorra
Angolo,Angola
Angolo,Republic of Angola
Angvilo,Anguilla
Antarkto,Antarctica
Antigvo-Barbudo,Antigua and Barbuda
Argentino,Argentina
Argentino,Argentine Republic
Arizona,Arizona
Armenio,Armenia
Arubo,Aruba
Azerbajĝano,Azerbaijan
Azerbajĝano,Republic of Azerbaijan
Aŭstralio,Australia
Aŭstralio,Commonwealth of Australia
Aŭstrio,Austria
Aŭstrio,Republic of Austria
Aŭstrio-Hungario,Austria-Hungary
Aŭstrio-Hungario,Austro-Hungarian Empire
Bahamoj,Bahama Islands
Bahamoj,Bahamas
Bahamoj,Commonwealth of the Bahamas
Balearoj,Balearic Islands
Bangladeŝo,Bangladesh
Bangladeŝo,People's Republic of Bangladesh
Barato,India
Barato,Republic of India
Barbado,Barbados
Barejno,Bahrain
Bavario,Bavaria
Belaŭo,Palau
Belgio,Belgium
Belgio,Kingdom of Belgium
Belizo,Belize
Belmopano,Belmopan
Belorusio,Belarus
Belorusio,Republic of Belarus
Benino,Benin
Benino,Republic of Benin
Beogrado,Belgrade
Berlino,Berlin
Bermudo,Bermuda
Bet-Leĥem,Bethlehem
Birmingham,Birmingham
Bocvano,Botswana
Bocvano,Republic of Botswana
Bolivio,Bolivia
Bolivio,Republic of Bolivia
Bonn,Bonn
Bosnio kaj Hercegovino,Bosnia and Herzegovina
Bosnio kaj Hercegovino,Republic of Bosnia and Herzegovina
Brazilo,Brazil
Brita Hindoceana Teritorio,BIOT
Brita Hindoceana Teritorio,British Indian Ocean Territory
Brunejo,Brunei
Brunejo,Negara Brunei Darussalam
Bulgario,Bulgaria
Bulgario,Republic of Bulgaria
Burkino,Burkina Faso
Burundo,Burundi
Burundo,Republic of Burundi
Butano,Bhutan
Butano,Kingdom of Bhutan
Buvetinsulo,Bouvet Island
Centr-Afrika Respubliko,Central African Republic
Dagestano,Dagestan
Dakaro,Dakar
Danio,Denmark
Danio,Kingdom of Denmark
Danuba Monarkio,Austria-Hungary
Danuba Monarkio,Austro-Hungarian Empire
Domingo,Dominican Republic
Dominiko,Commonwealth of Dominica
Dominiko,Dominica
Ebur-Bordo,Cote d'Ivoire
Ebur-Bordo,Ivory Coast
Ebur-Bordo,Republic of Cote d'Ivoire
Egea Maro,Aegean Sea
Egiptio,Arab Republic of Egypt
Egiptio,Egypt
Eiffel-Turo,Eiffel Tower
Ekvadoro,Ecuador
Ekvadoro,Republic of Ecuador
Ekvatora Gvineo,Equatorial Guinea
Ekvatora Gvineo,Republic of Equatorial Guinea
Epifanio,Epiphany
Eritreo,Eritrea
Esperanto,Esperanto
Estonio,Estonia
Estonio,Republic of Estonia
Etiopio,Ethiopia
Etiopio,Federal Democratic Republic of Ethiopia
Eŭropa Unio,EU
Eŭropa Unio,European Union
Falklandoj,Falkland Islands
Felican Kristnaskon kaj prosperan Novjaron,Merry Christmas and a happy New Year
Ferooj,Faroe Islands
Filadelfio,Philadelphia
Filipinoj,Philippines
Finlando,Finland
Finlando,Republic of Finland
Fiĝio,Fiji
Fiĝio,Republic of the Fiji Islands
Flandrio,Flanders
Flandrio,Flemish region
Franca Gviano,French Guiana
Franca Polinezio,French Polynesia
Francaj Sudaj Teritorioj,French Southern Territories
Francaj Sudaj Teritorioj,French Southern and Antarctic Lands
Francaj Sudaj Teritorioj,French Southern and Antarctic LandsA
Francaj Sudaj Teritorioj,Territory of the French Southern and Antarctic Lands
Francio,France
Fuĵi-Monto,Mount Fuji
GDR,GDR
GDR,German Democratic Republic
Gabono,Gabon
Gabono,Gabonese Republic
Gaborono,Gaborone
Gambio,Gambia
Gambio,Republic of The Gambia
Gambio,The Gambia
Ganao,Ghana
Ganao,Republic of Ghana
Georgio,Georgia
Germana Demokratia Respubliko,GDR
Germana Demokratia Respubliko,German Democratic Republic
Germanio,Federal Republic of Germany
Germanio,Germany
Germano,German
Grekio,Greece
Grekio,Hellenic Republic
Grenado,Grenada
Groenlando,Greenland
Gujano,Guyana
Gujano,Republic of Guyana
Gvadelupo,Guadeloupe
Gvamo,Guam
Gvatemalo,Guatemala
Gvatemalo,Republic of Guatemala
Gvineo,Guinea
Gvineo,Republic of Guinea
Gvineo-Bisaŭo,Guinea-Bissau
Gvineo-Bisaŭo,Republic of Guinea-Bissau
H5N1,A(H5N1)
H5N1,H5N1
H5N1,Influenza A virus subtype H5N1
Hago,The Hague
Haitio,Haiti
Haitio,Republic of Haiti
Hanovro,Hanover
Hispana,Castilian
Hispana,Spanish
Hispanio,Spain
Honduro,Honduras
Honduro,Republic of Honduras
Hungario,Hungary
Hungario,Republic of Hungary
Iliado,Iliad
Indonezio,Indonesia
Indonezio,Republic of Indonesia
Interlingvao,Interlingua
Interlingvao,"Interlingua, ""Simplified"" Latin"
Irako,Iraq
Irako,Republic of Iraq
Irano,Iran
Irano,Islamic Republic of Iran
Irlando,Ireland
Irlando,Republic of Ireland
Islando,Iceland
Islando,Republic of Iceland
Israelo,Israel
Israelo,State of Israel
Italio,Italian Republic
Italio,Italy
Jamajko,Jamaica
Japanio,Japan
Japanio,State of Japan
Jemeno,Republic of Yemen
Jemeno,Yemen
Jersey,Bailiwick of Jersey
Jersey,Jersey
Jordanio,Hashemite Kingdom of Jordan
Jordanio,Jordan
Kabo-Verdo,Cape Verde
Kabo-Verdo,Republic of Cape Verde
Kairo,Cairo
Kajmaninsuloj,Cayman Islands
Kamboĝo,Cambodia
Kamboĝo,Kingdom of Cambodia
Kamerunio,Cameroon
Kamerunio,Republic of Cameroon
Kameruno,Cameroon
Kameruno,Republic of Cameroon
Kanado,Canada
Kaprikorno,Capricorn
Kariba Maro,Caribbean Sea
Karibio,Caribbean
Karibio,Caribbean Area
Kartvelio,Georgia
Kaspia Maro,Caspian Sea
Kataro,Qatar
Kazaĥio,Kazakhstan
Kazaĥio,Republic of Kazakhstan
Kenjo,Kenya
Kenjo,Republic of Kenya
Kioto,Kyoto
Kipro,Cyprus
Kipro,Republic of Cyprus
Kirgizistano,Kyrgyz Republic
Kirgizistano,Kyrgyzstan
Kiribato,Kiribati
Kiribato,Republic of Kiribati
Kolombio,Colombia
Kolombio,Republic of Colombia
Kolonjo,Cologne
Komoroj,Comoros
Komoroj,Union of the Comoros
Kongo Brazavila,Congo-Brazzaville
Kongo Brazavila,Republic of the Congo
Kongo Kinŝasa,Congo-Kinshasa
